Network,Station,lon [deg],lat [deg],P pick [s],P error [s],S pick [s],S error [s],RW period [s],RW pick [s],RW error [s]
  ,    ,       ,      ,       ,     ,       ,     ,  39.78,383.35,29.38
  ,    ,       ,      ,       ,     ,       ,     ,  50.74,360.88,25.92
  ,    ,       ,      ,       ,     ,       ,     ,  58.48,347.06,31.10
  ,    ,       ,      ,       ,     ,       ,     ,  77.68,352.24,31.10
  ,    ,       ,      ,       ,     ,       ,     ,  97.09,333.24,34.56
  ,    ,       ,      ,       ,     ,       ,     , 128.97,347.06,47.52
  ,    ,       ,      ,       ,     ,       ,     , 174.82,366.07,62.21
IU,MBWA,119.731,-21.159,194.06, 1.81,347.48,17.48,  12.52,614.32,158.07
  ,    ,       ,      ,       ,     ,       ,     ,  17.68,533.73,76.45
  ,    ,       ,      ,       ,     ,       ,     ,  23.48,504.80,21.70
  ,    ,       ,      ,       ,     ,       ,     ,  30.56,469.68,51.66
  ,    ,       ,      ,       ,     ,       ,     ,  39.78,436.61,40.29
  ,    ,       ,      ,       ,     ,       ,     ,  48.72,409.75,38.23
  ,    ,       ,      ,       ,     ,       ,     ,  62.15,399.42,47.53
  ,    ,       ,      ,       ,     ,       ,     ,  85.97,407.69,38.23
  ,    ,       ,      ,       ,     ,       ,     , 109.66,407.69,51.66
  ,    ,       ,      ,       ,     ,       ,     , 139.87,405.62,71.29
  ,    ,       ,      ,       ,     ,       ,     , 189.59,411.82,71.29
  ,    ,       ,      ,       ,     ,       ,     , 251.84,405.62,75.42
  ,    ,       ,      ,       ,     ,       ,     , 334.52,376.69,145.68
